,input,reply
2695,is this listing for one glove or two gloves,two gloves
2696,what is the height from floor to seating area,17 34 inches
2697,where are these gloves manufactured,made in china
2698,how deep is the actual seat front to back distance,21 inches
2699,what color is this netting,it is white
2700,do the stationery chairs stack without cushions on them,yes they do
2701,what is the tire size,13 inch
2702,what is the hp,roughly 12
2703,how many pounds is this bag,40 pounds
2704,have much weight do the chairs hold,225 pounds
2705,how long to fully charge solar charger in the wall,about 2 hours
2706,what size hammock is required for this stand,80 inches
2707,is this a new oem cartridge manufactured by hp,yes it is
2708,can you write on these labels with a pen,yes easily
2709,it does any other langage as french,only english
2710,is this dual voltage,it is not
2711,what is the height without the casters thanks,about 31
2712,can you us this with a laser jet printer,yes definitely
2713,does the tray tilte up down or both,both
2714,does this work for selphy cp900,yes perfectly
2715,is this card stock paper made in the usa,yes it is
2716,was it made in the us,yes it is
2717,do these come pre sharpened,no they dont
2718,how many come in this order,100 per box
2719,can this board be hung vertically,yes it can
2720,what is the core dimension,3 inches
2721,is it made by 3m,yes it is
2722,is this thermal paper,yes it is
2723,is it hard wired and analog or a voip phone,hard wired
2724,what is the outside diameter,25 inches
2725,what is the distance between the two hangers,about 5 6 inches
2726,is this compatible with windows xp,it is
2727,is this wireless compatible,no thanks
2728,how high is rack,27 12 inches
2729,is there a college ruled version of this notebook,unfortunately not
2730,how long is the paper clip,about 4 inches
2731,will the sticker adhere to glass,yes it will
2732,do the drawers pull all the way out,yes they do
2733,is this printer compatible with black 17 ink,yes it is
2734,are these new in sealed wrappers not refilled,yes they are
2735,what is the height from floor to the monitor shelf,29 inches
2736,are these folders glossy,no they arent
2737,how thick is the board,approximately 12
2738,do they also have differt colors,dont think so
2739,is it new in box,yes it was
2740,is this in a retail package,yes it is
2741,length of cutting edge,16 inches
2742,how high is this sharpener,about 4
2743,are these 2013 forms the image doesnt show that,yes they are
2744,is this thickgood enough to use for printing postcards,yes it is
2745,is this model b351a thanks,yes it is
2746,is this cartridge standard capacity,yes it is
2747,how much does this product weigh,119 ounces
2748,how big are these,2 inches
2749,is this compatable with windows 7,yes it is
2750,this product is black color right,mine is black
2751,will these work with the icon rtc100 20,yes they will
2752,is the ruler calibrated for millimeters as well as inches,yes it is
2753,this item incluid power adapter,yes it is
2754,will this print double lined lables,yes it will
2755,is the phone white or ivory,white
2756,do they adhere to containers that are already frozen,they do
2757,what is the overall width including any hardware,255 inches
2758,what is the actual seat width,roughly 19
2759,would the double sided tape work on a fridge,of course
2760,what color are the buuble mailers,white
2761,is this item blank on the front,yes it is
2762,what size are the rings in this binder,34 inches
2763,what is the seat diameter,14 15 inches
2764,how high will it go,23 inches
2765,will this fit in this 5 pencil http wwwamazoncomgpproductb00,yes it will
2766,is this printer windows 7 64 bit compatible,yes it is
2767,is it wall mountable,yes it is
2768,can anyone tell me how much is weighs,about 30 pounds
2769,does this ink cartridge work with the hp deskjet d4360,yes it works
2770,can these adhesvie sheets be used for die cutting,i dont know
2771,would it sit flat without the wheels,yes it will
2772,what is the writing surface made of,leather
2773,how many handsets does it go to,three
2774,can it be used with a mac,i dont know
2775,is it made of solid wood,yes it is
2776,are these um 153s,yes they are
2777,how many inches are between the bottom and middle shelf,14 inches
2778,is this paper coated on two sides,yes it is
2779,how tall without wheels,24 12 inches
2780,what is the weight of the hp photosmart c4480 printer,about 8 lbs
2781,is the warranty card stamped from an authorized dealer,yes it is
2782,is this the pentagon shaped black ink,yes it is
2783,seat height from the floor,about 15 inches
2784,does it print 4 x 6 black amp white photos,of course
2785,what is the maximum weight of the scale,500 pounds
2786,does this hold chairs on both sides or just one,both
2787,how much weight can it hold,about 75lbs
2788,what is the maximum throat depth,2 12 inches
2789,does this printer work with windows 7,yes very well
2790,how wide is the keyboard drawer,about 255 inches
2791,is this compatible with the cp910,yes it is
2792,does power cord have 2 or 3 prongs,three prongs
2793,what is the height from floor to keyboard shelf,26 inches
2794,do they have 2pockets on the inside covers,yes they do
2795,how high is this stool,around 10 inches
2796,will it read the new 100 bill,sure will
2797,does it count the latest 100 bills,yes it will
2798,is this 716,yes they are
2799,is this a magnetic board,yes it is
2800,could you fold the portfolio to write on it,not at all
2801,do all phones have a ringer off connection,yes they do
2802,what is the inside measurement between the arms,175 inches
2803,what is the length of the actual phone,7 inches
2804,is this waterproof,yes it is
2805,is there a hole to sharpen large primary pencils,yes there is
2806,what is the weight limit on this,250 pounds
2807,is this entirely made of plastic,yes it is
2808,does this printer work for macs,sorry dont know
2809,are these labels white or clear,white
2810,how much does the unit weigh,8 ounces
2811,is there a logo on the back of the label,yes there is
2812,is it a 3 diameter core,yes it is
2813,will this printer work with windows 7 64bit,absolutely
2814,what is the weight capacity,150 pounds
2815,what is the height of the item,about 1 inch
2816,what is the exact length when retracted,four inches
2817,is this compatible with erc38br,yes it is
2818,how wide is the seat between the arm supports,20 inches
2819,how width is the seat,21 inches
2820,do these work the pilot vanishing point,yes they do
2821,how wide is the base thanks,seven inches
2822,will this ribbon fit in an underwood 319 portable typewriter,dont know
2823,can names be printed on them,dont think so
2824,what is the minimum internet speed required,from
2825,is this form the 2013 version,yes it is
2826,what is the actual height thanks,105 inches
2827,is the writing surface of this board silver or white,white
2828,how many batteries use,four
2829,what is the entire width side to side,39 inches
2830,is this wall mountable,yes it is
2831,what is height form seat to floor,30 inches
2832,is this form the approved omb 0938 9999 form cms 1500,yes it is
2833,what colour are the envelopes,white
2834,is this cabinet sized for legal files,yes it is
2835,whats the height of the keyboard shelf,40 inches
2836,will they work in the std wiktag gun,yes they will
2837,what color is this chair it looks like bronze,its black
2838,how high is this stand in the lowest possible setting,4 12 inches
2839,are these smooth or textured,smooth
2840,thereis no pocket to put the label into,yes there is
2841,what is the height,29 inches
2842,how much does each mailer weigh on its own,approximately 4 ounces
2843,what is the height of this stool,9 inches
2844,do the handsets all 3 have the jacks for headsets,yes they do
2845,is this handset compatible with my kx tg4021 system,yes it is
2846,are the buttons made of rubber or hard plastic,hard plastic
2847,is this pen refillable,yes it is
2848,what is the weight,around 500 grams
2849,can these chairs be stacked,no they cant
2850,is this product 405 inches or 37 high,39 inches tall
2851,can it hang on the wall,yes it can
2852,are they consecutively numbered,yes they are
2853,what is the width of the keyboard pull out,26 inches
2854,can this calculator solve limits of funtions,yes it can
2855,does this have acid free paper,i dont know
2856,compatibility with windows 7,yes it is
2857,how long is the power cord,about three feet
2858,is this desk made of particle board,of course
2859,does anyone know the width between the legs,about 14 inches
2860,did this printer ship with a ink cartridge,yes it did
2861,is this scanner compatible with 81 windows thank you,yes it is
2862,what is the lowest height,around 25 inches
2863,what is the max height,36 inches
2864,what is the maximum height on the chair,38 inches high
